iter	Passed	Remaining
1250	30556	42720
1251	30579	42694
1252	30602	42667
1253	30625	42641
1254	30649	42616
1255	30673	42590
1256	30695	42563
1257	30718	42537
1258	30741	42510
1259	30765	42486
1260	30791	42462
1261	30814	42436
1262	30836	42410
1263	30860	42384
1264	30883	42357
1265	30907	42332
1266	30931	42308
1267	30956	42283
1268	30978	42257
1269	31003	42232
1270	31027	42207
1271	31050	42181
1272	31073	42156
1273	31098	42132
1274	31124	42109
1275	31149	42086
1276	31174	42062
1277	31199	42039
1278	31226	42017
1279	31250	41993
1280	31274	41968
1281	31299	41943
1282	31322	41917
1283	31347	41893
1284	31371	41869
1285	31395	41843
1286	31426	41828
1287	31454	41809
1288	31485	41793
1289	31513	41773
1290	31540	41752
1291	31566	41730
1292	31593	41709
1293	31619	41686
1294	31648	41669
1295	31689	41665
1296	31734	41667
1297	31768	41656
1298	31807	41650
1299	31838	41635
1300	31862	41609
1301	31889	41588
1302	31917	41568
1303	31943	41546
1304	31970	41524
1305	31994	41500
1306	32018	41474
1307	32042	41450
1308	32066	41424
1309	32090	41399
1310	32114	41373
1311	32137	41347
1312	32162	41323
1313	32186	41298
1314	32210	41273
1315	32233	41247
1316	32257	41221
1317	32285	41202
1318	32312	41180
1319	32339	41159
1320	32364	41135
1321	32390	41112
1322	32421	41096
1323	32449	41076
1324	32483	41064
1325	32510	41042
1326	32539	41024
1327	32567	41003
1328	32593	40981
1329	32623	40963
1330	32652	40944
1331	32679	40922
1332	32705	40900
1333	32736	40883
1334	32772	40873
1335	32799	40851
1336	32829	40834
1337	32856	40812
1338	32884	40792
1339	32909	40768
1340	32937	40748
1341	32963	40724
1342	32988	40701
1343	33016	40680
1344	33041	40657
1345	33069	40636
1346	33097	40616
1347	33126	40597
1348	33152	40574
1349	33177	40550
1350	33203	40527
1351	33230	40505
1352	33256	40482
1353	33284	40463
1354	33312	40441
1355	33340	40421
1356	33368	40400
1357	33393	40377
1358	33419	40353
1359	33444	40329
1360	33469	40306
1361	33497	40285
1362	33524	40264
1363	33552	40242
1364	33577	40219
1365	33605	40198
1366	33631	40176
1367	33658	40154
1368	33686	40134
1369	33713	40112
1370	33741	40090
1371	33769	40070
1372	33799	40052
1373	33827	40031
1374	33853	40008
1375	33879	39985
1376	33907	39964
1377	33933	39941
1378	33959	39919
1379	33985	39896
1380	34012	39874
1381	34039	39852
1382	34065	39829
1383	34092	39807
1384	34122	39789
1385	34151	39769
1386	34176	39745
1387	34204	39725
1388	34231	39702
1389	34259	39681
1390	34289	39662
1391	34317	39642
1392	34342	39618
1393	34368	39595
1394	34395	39573
1395	34422	39551
1396	34450	39530
1397	34484	39516
1398	34521	39506
1399	34547	39483
1400	34573	39459
1401	34600	39437
1402	34629	39418
1403	34654	39393
1404	34680	39370
1405	34707	39348
1406	34735	39327
1407	34771	39315
1408	34802	39297
1409	34831	39277
1410	34856	39253
1411	34881	39229
1412	34905	39203
1413	34929	39178
1414	34954	39154
1415	34980	39130
1416	35005	39106
1417	35030	39081
1418	35054	39056
1419	35081	39034
1420	35107	39011
1421	35135	38989
1422	35162	38967
1423	35189	38945
1424	35217	38924
1425	35243	38900
1426	35269	38878
1427	35296	38855
1428	35324	38834
1429	35351	38812
1430	35375	38786
1431	35398	38760
1432	35423	38735
1433	35447	38710
1434	35472	38685
1435	35496	38660
1436	35520	38634
1437	35544	38609
1438	35567	38583
1439	35591	38557
1440	35615	38531
1441	35639	38506
1442	35663	38481
1443	35686	38454
1444	35710	38429
1445	35735	38404
1446	35760	38380
1447	35785	38355
1448	35809	38329
1449	35833	38304
1450	35859	38281
1451	35882	38254
1452	35906	38229
1453	35930	38203
1454	35954	38178
1455	35977	38152
1456	36002	38127
1457	36027	38102
1458	36052	38079
1459	36078	38055
1460	36103	38030
1461	36128	38007
